"Date","Price (Close)","Marketcap Dominance","Volatility","Active Addresses Count","Addresses with balance greater than $100K","Average Transaction Fees"
"2022-11-12","1272.5291201332604","","1.1480668660389304","","",""
"2022-11-11","1285.9658771146137","17.589980924000507","1.1486774160256061","508831","58957","3.5979035389232643"
"2022-11-10","1295.8754372652156","16.626569088094342","1.1954701249990705","494969","59175","5.325952102321571"
"2022-11-09","1103.9463573273736","17.382468124748886","0.9252523090738897","510135","51909","6.025662843153384"
"2022-11-08","1334.7367337323378","18.347878870891424","0.8008665583306397","478829","59703","6.821070226404854"
"2022-11-07","1568.4449116573917","18.286329139211293","0.5868639821093868","500252","67631","3.217670097518479"
"2022-11-06","1568.4511677917155","18.441184864705715","0.574710608373784","482455","67610","2.584945813632439"
"2022-11-05","1627.2831867489406","18.59222705719357","0.572848249966803","527979","69038","2.745994137207114"
"2022-11-04","1644.9241443935873","18.289551405391894","0.5721547438373945","490403","69589","3.9060466797101543"
"2022-11-03","1530.9901022776578","18.067359525253245","0.5289618691794133","511458","65873","4.4404038476696925"
"2022-11-02","1518.2673045161298","18.6163041890085","0.5430909433045273","498423","65583","3.23371407908179"
"2022-11-01","1578.3293273226832","18.59953811723285","0.5297029927143543","497229","67587","2.7719665660187847"
"2022-10-31","1572.7082277111988","18.79799775591552","0.5373604448031182","476137","67388","3.7721940643801273"
"2022-10-30","1590.8431862119303","19.140204351555084","0.5295981845948002","483186","67902","1.880074155580522"
"2022-10-29","1620.1495932469697","18.767892398084147","0.5293282919009954","469782","68838","2.7321684282510525"
"2022-10-28","1555.0076671134998","18.651553368076478","0.5123352138609334","461380","66969","3.1517411980988492"
"2022-10-27","1514.138177203307","18.921505631733055","0.4918511070571546","518492","65489","2.7922222761274673"
"2022-10-26","1566.5603986550175","18.235594457204144","0.509361517622366","501035","67559","3.467198328003504"
"2022-10-25","1460.1033724162162","17.409627388427882","0.4592678893472147","477855","64063","3.7079601425072184"
"2022-10-24","1343.7421504180948","17.458227580236198","0.3416386163532325","503644","60065","3.1258667784849234"
"2022-10-23","1363.9570477661837","17.18177658069016","0.31407115078113407","481225","60720","2.458236689319162"
"2022-10-22","1313.6835350922581","17.072983673397133","0.3804135165964443","503131","59001","3.133089490730026"
"2022-10-21","1299.9045037365397","16.972477086081774","0.4300236645596188","489562","58570","4.3566728521238804"
"2022-10-20","1282.7125838887014","16.947288640082537","0.44524210841515605","503253","58053","4.275485806977623"
"2022-10-19","1285.0304124323777","16.993683500117957","0.45664568585085363","462800","58115","3.92337913239859"
"2022-10-18","1310.7418068461882","16.833651939039232","0.548373963090643","442718","58867","3.731151750418085"
"2022-10-17","1331.449469718078","17.02907372140736","0.5540159628097521","478308","59566","3.4759768485663827"
"2022-10-16","1305.9900745109135","16.82184308368127","0.5566758050344796","495691","58695","2.452151405292392"
"2022-10-15","1274.8655911361566","17.008877404564316","0.6362082023636682","590642","57855","2.5324647039433565"
"2022-10-14","1296.4611942194028","16.80745048274152","0.6578016769297041","547756","58506","2.6984125897506046"
"2022-10-13","1287.1390098402637","16.991810703811524","0.7045970027932761","533765","58323","3.2766874977723894"
"2022-10-12","1294.4236255329072","16.855466105978486","0.7083251469023085","557900","58457","2.890700001872194"
"2022-10-11","1279.8878842373344","16.881032354647537","0.7035227773905361","575646","58020","3.575921555254101"
"2022-10-10","1290.0348678252928","16.89759454809828","0.7156880810286735","596927","58391","4.674849222810662"
"2022-10-09","1323.3195755000286","16.891913832657977","0.7423267610461278","585312","59268","4.152215817475146"
"2022-10-08","1315.626653235574","16.801295513853198","0.7421025946974109","580346","59075","2.560504803303822"
"2022-10-07","1331.202184887186","16.952798102491677","0.7621222917640997","543474","59639","1.6741412667414914"
"2022-10-06","1352.3050363979985","16.849121350972542","0.7702275213599995","554371","60393","1.8603501216749254"
"2022-10-05","1352.470367811839","16.906653799165294","0.7757503931330018","494941","60458","2.37943411000304"
"2022-10-04","1361.892919997854","16.885646024433402","0.7770363478865623","478072","60707","2.166494227958519"
"2022-10-03","1323.2939849324828","16.695605804430915","0.7695031712690797","454754","59368","1.9288318101052166"
"2022-10-02","1275.0606389473726","16.80285505948878","0.7522384586452717","490310","57964","0.9723018714485493"
"2022-10-01","1311.9940054195295","16.99769350891071","0.757703555873154","485678","58981","1.362505866225581"
"2022-09-30","1329.5592376558052","16.964720541287008","0.761098639224636","484536","59472","2.2028000763991886"
"2022-09-29","1335.954204169675","17.092790232696814","0.7626038178879799","490189","59904","2.2656823064495937"
"2022-09-28","1337.1140804502877","17.14271376989877","0.8248732001368267","472582","60168","2.471309246285046"
"2022-09-27","1327.9642864391615","17.1032640508723","0.8347900007309467","555089","59592","2.527552036738265"
"2022-09-26","1336.583360857552","16.85791151981206","0.8310747743688356","493646","60024","1.9563866287005767"
"2022-09-25","1294.561534285624","16.999451649988963","0.9002292321025225","479299","58561","1.2965298540345045"
"2022-09-24","1317.2828162264743","16.898832754403124","0.9073249929989824","522081","59300","1.0823968805371684"
"2022-09-23","1327.1490744833745","16.89121185220825","0.9054688483520296","499932","59761","1.580563403531407"
"2022-09-22","1326.1388987279645","16.650026025061432","0.9124857811838228","483508","59674","1.7114826332038307"
"2022-09-21","1245.9139156798944","17.220996388785448","0.8608821863458481","484981","57079","2.1289050207094853"
"2022-09-20","1322.9902624558883","17.50166645901646","0.8623794308774761","491039","59583","1.876803231465143"
"2022-09-19","1376.1301340600783","17.227100949572662","0.8559681961069989","489806","61531","1.763827191359187"
"2022-09-18","1334.489432829797","18.01224568618789","0.9270349399324243","512040","60458","1.3662161310543584"
"2022-09-17","1467.7453639115529","17.89661983516723","0.9039137365749947","698250","64969","1.063473977042677"
"2022-09-16","1434.136751790792","16.90994523376011","0.9007337192394015","666897","63917","1.565047507925718"
"2022-09-15","1472.5690027737783","19.607063674863603","0.8788527835952229","646710","65357","2.674643906661856"
"2022-09-14","1638.558706128272","19.11181155248294","0.8264488174033152","573358","70805","2.2731697027780644"
"2022-09-13","1574.5745058652021","19.25449584670256","0.8072209244045178","523706","68893","3.113666527649608"
"2022-09-12","1716.9606012530744","19.813787022815127","0.7822383192366497","485853","73574","3.0857327360328575"
"2022-09-11","1765.988035549218","20.02062113537891","0.7923750490877456","491234","74810","2.0729396814483145"
"2022-09-10","1774.7373569627507","19.62314333319631","0.785492100653175","496884","75275","2.4583584712956896"
"2022-09-09","1718.9087934532192","19.788624344292753","0.8465560396742592","519563","73452","3.6414306048603695"
"2022-09-08","1635.7261410728165","19.919888182111205","0.8403350569918001","508058","70169","3.746597705595928"
"2022-09-07","1629.8824345001246","19.65873824100524","0.8645485293687378","481830","70173","3.5264344878170184"
