"Date","Price (Close)","Marketcap Dominance","Volatility","Active Addresses Count","Addresses with balance greater than $100K","Average Transaction Fees"
"2022-11-12","0.34409897341012663","","1.0445909900517387","","",""
"2022-02-19","","","0.7910884001962336","177722","23817","0.3690025143616568"
"2022-02-20","","","0.7907350923980465","230015","22134","0.30777075194873893"
"2021-08-28","2.8494745806177506","5.106208456702563","1.2681812023295205","138728","60266","0.6223178254551709"
"2021-08-30","2.736199352368302","4.986401945556703","1.2794034571685353","136707","59188","0.5825671340634321"
"2021-08-29","2.8534309551257713","4.963647228273976","1.264642459596103","150072","60917","0.6797989390748242"
"2021-08-31","2.769935209968048","4.886036963914039","1.2869745083848128","120821","58053","0.5857519592296249"
"2021-09-01","2.8710342746047948","4.854709748621332","1.2836336591577147","126489","59429","0.587627672789709"
"2021-09-02","2.9619299772022365","4.760975611920454","1.2816013693424937","150415","60731","0.6094270477065621"
"2018-01-05","0.9896926493204836","4.692325615034603","4.310744136352232","6204","20237","0.1647077413107607"
"2021-08-27","2.947805645361135","4.653952542621433","1.174570427337554","135812","61310","0.6222830236257402"
"2021-09-03","2.9663573922613704","4.582371617939889","1.27933557894822","141105","60660","0.6167200302602758"
"2021-09-04","2.8325321319471755","4.494205774082828","1.2845179799591524","138802","59275","0.5912025586533324"
"2018-01-04","1.1514950311549703","4.483688583256806","4.2762386990036285","8003","21401","0.1983363774692038"
"2021-08-24","2.7199650004276057","4.379416857014393","1.0738995062486525","139623","58739","0.608577171301384"
"2021-09-05","2.9128058708284112","4.303834273447102","1.302148695585997","136930","60761","0.627255267021085"
"2021-09-06","2.83480858914177","4.290926464188325","1.3119455337654153","188723","59577","0.5921591472990083"
"2021-08-25","2.7405815567101866","4.287946927897512","1.1098059706143093","124148","58697","0.627102907387022"
"2021-08-26","2.5299015875626503","4.222374913500316","1.1524953525590278","120380","56668","0.5750859868352721"
"2021-08-23","2.917090320172121","4.155310272997848","1.0605091514195872","173057","61644","0.619831362479225"
"2021-09-07","2.5164312780737803","4.139378495032278","1.3471056928110456","214909","54221","0.5271363891047083"
